conv1 0 5.81623 0.406273 0.890442
conv2 -0 24.2228 0.954587 2.19927
conv3 -0 82.0601 6.56349 11.5995
env 0 1 0.132646 0.291775
fc1 -0 101.314 6.68935 18.8385
fc2 -8.18563 569.505 43.8919 128.203
pool1 0 5.81623 0.594548 1.08423
pool2 0 24.2228 1.84169 3.0303
