00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 FFFFFF88 FFFFFE16 FFFFFDB1 FFFFFE8E FFFFFD01 FFFFFB77 00000000 FFFFFE5C FFFFF7C7 FFFFEFE2 FFFFEC9E FFFFEC9C 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 FFFFFFC4 FFFFFE39 FFFFFFC4 FFFFFE39 FFFFF7B0 FFFFEC77 FFFFE8FD FFFFEBE8 FFFFE493 FFFFE92F 00000000 FFFFF4C0 FFFFD122 FFFFB410 FFFFB358 FFFFB99B 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 FFFFFFC4 FFFFFD0D FFFFF17B FFFFFDD0 FFFFF1F6 FFFFD407 FFFFAF31 FFFFA24B FFFFA851 FFFF9EC5 FFFFD39F 00000000 FFFFDD9B FFFF8A32 FFFF72F0 FFFFA05B FFFFB5B7 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 FFFFFDE4 FFFFEF1C FFFFC2C6 FFFFF501 FFFFC5B1 FFFF8325 FFFF7029 FFFF9438 FFFFB20D FFFFB405 FFFFDAAA 00000000 FFFFCD57 FFFF8332 FFFFBEB4 0000242E 00002F4E 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 FFFFFD6C FFFFEB24 FFFFB975 FFFF7832 FFFFE069 FFFF85F4 FFFF6C24 FFFFCEC8 00002C16 00004E4C 00005C69 FFFFFCA6 00000000 FFFFED3D 0000093C 00008BC2 0000B805 000084A3 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFFFB0 00000000 FFFFFFB0 FFFFFBDC FFFFE684 FFFFB360 FFFF81BD FFFF9FEE FFFFD370 FFFF9AB7 FFFFF715 00008D55 0000B048 00009CD8 00008D26 00000B58 00000000 000019E3 00006D8C 0000A554 000054B6 00000855 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 000002AC 00000A70 00000DD4 000000FC FFFFFB38 00000000 00000000 FFFFC9D2 FFFF30F7 FFFF3D55 FFFFC68D FFFFE97F FFFFE166 000007D1 FFFF5221 FFFF7DD3 FFFF9F12 FFFFBBB0 FFFFFB7A 000051C6 000047F4 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000E9B 0000296D 000027F4 FFFFF945 FFFFEE33 00000000 00000000 FFFF4E47 FFFF29DB FFFF8ED1 00001B01 00002CCE 0000097F 000005A9 FFFFE791 00000346 00001689 00001AF5 000029FC 000043B2 00002DC6 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00001DDB 00004791 0000315A FFFFDFD3 FFFFDFED 00000000 00000000 FFFFA637 FFFFCFDB 000020F5 000060A1 00003BD3 000003EF FFFFF9F4 00002006 000017CB 000010C4 00000914 0000096C 00000CC6 000007F8 
